Title,Price,Location,Link
"2BD 1BA, Bike Storage, In-suite laundry",3285.0,"1022 Nelson Street, Vancouver, Bc",https://vancouver.craigslist.org/van/apa/d/vancouver-2bd-1ba-bike-storage-in-suite/7799650438.html
"EV Parking, Mobi Bike Share Station, Storage Lockers",3450.0,"333 E 11Th Ave, Vancouver, Bc",https://vancouver.craigslist.org/van/apa/d/vancouver-ev-parking-mobi-bike-share/7804278306.html
2 bedroom basement,2100.0,North Shore,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-bedroom-basement/7804871273.html
New Suite with 2 Bedroom 2 bath in South Surrey,2800.0,Surrey,https://vancouver.craigslist.org/rds/apa/d/surrey-south-new-suite-with-bedroom/7797332321.html
"$3,600 / 4br - Quiet 4 Bedroom 4 Bathroom townhouse (South Surrey)",3600.0,Surrey,https://vancouver.craigslist.org/rds/apa/d/surrey-br-quiet-bedroom-bathroom/7797322471.html
3 bedrooms and 3 bath townhouse for rent South Surrey,3100.0,Surrey,https://vancouver.craigslist.org/rds/apa/d/surrey-bedrooms-and-bath-townhouse-for/7797320288.html
Ground Floor Studio for rent!,1400.0,Vancouver,https://vancouver.craigslist.org/van/apa/d/vancouver-ground-floor-studio-for-rent/7804870838.html
Furnished one bedroom basement suite,1750.0,North Vancouver,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-southwest-furnished-one/7804870571.html
2 bedroom suite perfect for couples in burnaby heights,2000.0,Burnaby,https://vancouver.craigslist.org/bnc/apa/d/burnaby-bedroom-suite-perfect-for/7804870441.html
2 bedrooms + Den with 2 full baths Downtown Vancouver,2950.0,Downtown Vancouver,https://vancouver.craigslist.org/van/apa/d/vancouver-bedrooms-den-with-full-baths/7804870066.html
"Room Rentals in Spacious Coquitlam House – Great Location, Affordable",1400.0,Coquitlam,https://vancouver.craigslist.org/van/apa/d/coquitlam-room-rentals-in-spacious/7804870004.html
3br - 3 Bedroom Garden Level Suite - Cambie/14th Ave,2525.0,Vancouver/Mount Pleasant/Fairview/Vgh/Cambie,https://vancouver.craigslist.org/van/apa/d/vancouver-3br-bedroom-garden-level/7802869786.html
Surrey luxury 3 level townhouse 3 bed plus Den,3900.0,Surrey,https://vancouver.craigslist.org/rds/apa/d/surrey-surrey-luxury-level-townhouse/7804869665.html
Laneway house,2100.0,East Vancouver,https://vancouver.craigslist.org/van/apa/d/vancouver-laneway-house/7801400388.html
"Luxury Vinyl Plank Flooring, Pet Friendly, 1 bedroom",2475.0,"1371 Blackwood Street, White Rock, Bc",https://vancouver.craigslist.org/rds/apa/d/white-rock-luxury-vinyl-plank-flooring/7796777211.html
"Microwave, Pendant Lighting, Pet Wash Station",3586.0,"303 E Pender St, Vancouver, Bc",https://vancouver.craigslist.org/van/apa/d/vancouver-microwave-pendant-lighting/7802982212.html
JUST LIST!! SFU 1 Bedroom Apartment to Rent,2300.0,Burnaby,https://vancouver.craigslist.org/bnc/apa/d/burnaby-just-list-sfu-bedroom-apartment/7803322165.html
JUST LIST!  SFU 1 Bedroom Apartment for Rent,2300.0,Burnaby,https://vancouver.craigslist.org/bnc/apa/d/burnaby-just-list-sfu-bedroom-apartment/7803318387.html
1 Bed 1 Bath Richmond 1 bedroom 1 bathroom Richmond,2290.0,Richmond,https://vancouver.craigslist.org/rch/apa/d/richmond-bed-bath-richmond-bedroom/7802600283.html
One Bedroom Basement,1400.0,Surrey,https://vancouver.craigslist.org/rds/apa/d/surrey-one-bedroom-basement/7804868987.html
"2/BD 2/BA, Playground, Quartz Countertops",3495.0,"333 E 11Th Ave, Vancouver, Bc",https://vancouver.craigslist.org/van/apa/d/vancouver-bd-ba-playground-quartz/7798569988.html
2 Bedroom 1 Bathroom For Rent AVAILABLE,2300.0,Fleetwood - 15848 Fraser Highway Surrey,https://vancouver.craigslist.org/rds/apa/d/surrey-northeast-bedroom-bathroom-for/7804868546.html
*FURNISHED* 1 BED 1 BATH 1 DEN 1 PARKING 24HR CONCIERGE+AMENITIES,3100.0,Vancouver,https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-bed-bath-den/7798624229.html
$1800 2 bedroom suit for rent(around Coquitlam center),1800.0,Delta/Surrey/Langley,https://vancouver.craigslist.org/rds/apa/d/port-coquitlam-south-bedroom-suit-for/7804864482.html
2 bedrooms + Den with 2 full baths Downtown Vancouver,2950.0,Vancouver Downtown,https://vancouver.craigslist.org/van/apa/d/vancouver-bedrooms-den-with-full-baths/7804867857.html
"Open-concept, Brand New Three Bedroom Townhome at The Hyland",4533.0,"Kensington-Cedar Cottage, East Vancouver",https://vancouver.craigslist.org/van/apa/d/vancouver-open-concept-brand-new-three/7804297050.html
1 bedroom suite for rent,2500.0,Vancouver,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-suite-for-rent/7802384821.html
Fully Furnished High End 2 Bedroom  Suite in Maple Ridge,2300.0,12610 Laity St,https://vancouver.craigslist.org/pml/apa/d/maple-ridge-fully-furnished-high-end/7801338796.html
"1B 1Ba Closet Organizers, Quartz Countertops, Residential Management!",2295.0,"3370 Dewdney Trunk Road, Port Moody, Bc",https://vancouver.craigslist.org/pml/apa/d/port-moody-1b-1ba-closet-organizers/7803511708.html
Fully Furnished ground floor basement suite in Mount Plesant,2500.0,Mount Pleasant,https://vancouver.craigslist.org/van/apa/d/vancouver-fully-furnished-ground-floor/7804866516.html
Spacious 2 bedrm + den condo in SFU campus,3000.0,Sfu Burnaby,https://vancouver.craigslist.org/pml/apa/d/burnaby-spacious-bedrm-den-condo-in-sfu/7799435558.html
Modern Studio - $1000 Cashback - Security Deposit $500,2150.0,New Westminster,https://vancouver.craigslist.org/bnc/apa/d/new-westminster-modern-studio-cashback/7799047724.html
Modern    FurnisheRenovated in prime area North Vancouver Ground level,2300.0,North Vancouver District,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-northwest-central/7804866401.html
"Best Choice, Two bedroom suite for rent",2000.0,"Marpole, Vancouver",https://vancouver.craigslist.org/van/apa/d/vancouver-best-choice-two-bedroom-suite/7804865868.html
Spacious 2-bedroom 2-bath + Den Basement Suite,2500.0,Tricities/Pitt/Maple,https://vancouver.craigslist.org/pml/apa/d/port-moody-spacious-bedroom-bath-den/7798838421.html
Spacious 2-bedroom 2-bath + Den Basement Suite,2500.0,North Shore,https://vancouver.craigslist.org/nvn/apa/d/port-moody-spacious-bedroom-bath-den/7798839875.html
***1 Bedroom Basement Suite North Burnaby***,1900.0,North Burnaby,https://vancouver.craigslist.org/bnc/apa/d/burnaby-bedroom-basement-suite-north/7802982140.html
NEW - Spacious 2 Bdrm Studio with View 1 Min to Surrey Central Station,1850.0,"Surrey City Central Next To Sfu, Skytrain And Library",https://vancouver.craigslist.org/rds/apa/d/surrey-inner-northwest-new-spacious/7804865502.html
Spacious 1yr old 2bdr+2bath Corner Unit,2400.0,Langley,https://vancouver.craigslist.org/rds/apa/d/langley-spacious-1yr-old-2bdr2bath/7797454119.html
