Title,Price,Location,Link
Surrey luxury 3 level townhouse 3 bed plus Den,"$3,900",Surrey,https://vancouver.craigslist.org/rds/apa/d/surrey-surrey-luxury-level-townhouse/7804869665.html
Laneway house,"$2,100",East vancouver,https://vancouver.craigslist.org/van/apa/d/vancouver-laneway-house/7801400388.html
"Luxury Vinyl Plank Flooring, Pet Friendly, 1 bedroom","$2,475","1371 Blackwood Street, White Rock, BC",https://vancouver.craigslist.org/rds/apa/d/white-rock-luxury-vinyl-plank-flooring/7796777211.html
"Microwave, Pendant Lighting, Pet Wash Station","$3,586","303 E Pender St, Vancouver, BC",https://vancouver.craigslist.org/van/apa/d/vancouver-microwave-pendant-lighting/7802982212.html
JUST LIST!! SFU 1 Bedroom Apartment to Rent,"$2,300",Burnaby,https://vancouver.craigslist.org/bnc/apa/d/burnaby-just-list-sfu-bedroom-apartment/7803322165.html
JUST LIST!  SFU 1 Bedroom Apartment for Rent,"$2,300",Burnaby,https://vancouver.craigslist.org/bnc/apa/d/burnaby-just-list-sfu-bedroom-apartment/7803318387.html
1 Bed 1 Bath Richmond 1 bedroom 1 bathroom Richmond,"$2,290",Richmond,https://vancouver.craigslist.org/rch/apa/d/richmond-bed-bath-richmond-bedroom/7802600283.html
One Bedroom Basement,"$1,400",Surrey,https://vancouver.craigslist.org/rds/apa/d/surrey-one-bedroom-basement/7804868987.html
"2/BD 2/BA, Playground, Quartz Countertops","$3,495","333 E 11th Ave, Vancouver, BC",https://vancouver.craigslist.org/van/apa/d/vancouver-bd-ba-playground-quartz/7798569988.html
2 Bedroom 1 Bathroom For Rent AVAILABLE,"$2,300",Fleetwood - 15848 Fraser highway Surrey,https://vancouver.craigslist.org/rds/apa/d/surrey-northeast-bedroom-bathroom-for/7804868546.html
*FURNISHED* 1 BED 1 BATH 1 DEN 1 PARKING 24HR CONCIERGE+AMENITIES,"$3,100",Vancouver,https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-bed-bath-den/7798624229.html
$1800 2 bedroom suit for rent(around Coquitlam center),"$1,800",delta/surrey/langley,https://vancouver.craigslist.org/rds/apa/d/port-coquitlam-south-bedroom-suit-for/7804864482.html
2 bedrooms + Den with 2 full baths,"$2,950",Vancouver Downtown,https://vancouver.craigslist.org/van/apa/d/vancouver-bedrooms-den-with-full-baths/7804867857.html
"Open-concept, Brand New Three Bedroom Townhome at The Hyland","$4,533","Kensington-Cedar Cottage, East Vancouver",https://vancouver.craigslist.org/van/apa/d/vancouver-open-concept-brand-new-three/7804297050.html
